PlaceName,County,Business Name,Address Line 1,Address Line 2,City,State,Zip,Telephone Number,Should the customer call first?,Email Address,Website,Facebook,Instagram,Directions to business,Months open for business,Days open,Hours on Monday,Hours on Tuesday,Hours on Wednesday,Hours on Thursday,Hours on Friday,Hours on Saturday,Hours on Sunday,Operation type,Agritourism activities offered,Operation type (other),Certified organic,SNAP accepted,ADA accessible,Organic certification agency,Produce Categories 1,Produce Categories 2,Produce Categories 3,Produce Categories (other),Meat Categories,Game,Fish,Meat (other),Miscellaneous 1,Miscellaneous 2,Miscellaneous (Other),Additional information,Wines,Daily hours,Latitude,Longitude
,Weld,Davis Family Livestock,4480 County Road 38,,Platteville,CO,80651,(720) 938-5888,Yes,anne@davisfamilylivestock.com,www.davisfamilylivestock.com,Davis Family Livestock,,,March|April|May|June|July|August|September,1|2|3|4|5|6,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,,Agritourism|On-Farm/Ranch sales|Roadside Market,Event Facilities|Tours,,No,No,No,,,,,,,,,,,,,"Davis Family Livestock offers educational tours to view three breeds of sheep including the rare Valais Blacknose, voted the ""World's Cutest Sheep"", alpacas, llama, horses and chickens.  Visitors also learn about wool, wool processing and visit the gift store for fiber products and homemade jams and jellies.",,,40.259034000000014,-104.9670315
,Montrose,DeVries Fruit & Veggie Roadside Stand,60542 Gunnison Road,,Olathe,CO,81425-9324,(970) 323-6559,No,,devriesproduce.com,DeVries - Fruit & Veggies,,North of Montrose on Hwy 50 between Mile Markers 85 & 86. On the West side of Highway.,June|July|August|September|October|November,1|2|3|4|5|6|7,9 a.m. -5 p.m.,9 a.m. - 5 p.m.,9 a.m. - 5 p.m.,9 a.m. - 5 p.m.,9 a.m. - 5 p.m.,9 a.m. - 5 p.m.,9 a.m.- 5 p.m.,Agritourism|Roadside Market,Corn Maze|Pumpkin Patch|Hayrides,,No,Yes,No,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Cabbage|Cantaloupe|Carrots|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Garlic|Green Beans|Herbs|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Squash|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Lamb|Pork,,,,Cheese|Honey|Jams|Jellies|Pickles,Cider,,"DeVries Fruit & Veggies (Since 1943).  Located North of Montrose on Highway 50 between Mile Markers 85 & 86.  
Pumpkin Patch / Corn Maze (end of September - October). Horse drawn Wagon Rides late October.",,,38.565027000000015,-107.957547
,Mesa,Downtown Grand Junction Market on Main,101 s 3rd Street,Suite 100,Grand Junction,CO,81501,(970) 255-4923,No,jed@downtowngj.org,downtowngj.org/events/market-on-main/,facebook.com/downtowngj,instagram.com/downtowngj,,July|August|September,4,,,,5:30 p.m. - 8:30 p.m.,,,,Farmers' Market,,,No,Yes,Yes,,,,,,,,,,,,,"Parking available along side streets and in the 5th & Rood parking garage. Parking is free after 4 p.m. All products are made or grown in the local region. We welcome SNAP, and Double Up Food Bucks.",,,39.067092,-108.5680845
,Delta,"Elevation Mountain Grown Herbal Tea, LLC",34691 JACOBS RD,,Hotchkiss,CO,81419,(303) 842-2709,No,hello@elevationherbaltea.com,www.elevationherbaltea.com,https://www.facebook.com/mountaingrownherbaltea,https://www.instagram.com/elevationherbaltea/,,June|July|August|September|October,1|2|3|4|5|6,8:30-12:30,8:30-12:30,8:30-12:30,8:30-12:30,8:30-12:30,8:30-12:30,,Agritourism|On-Farm/Ranch sales|U-pick,Tours,,No,No,No,,,Herbs,Raspberries|Strawberries,,,,,,Honey,,Herbal Tea,"Elevation Mountain Grown Herbal Tea is a woman-owned, home-grown, farm-to-teacup business. Every tea creation step happens onsite. Visit our cultivation fields. Take a tour and see how we wash, dry, grind, blend and package our teas. Pick your own berries, herbs and flowers. Sample the tea. Browse our gift shop.",,,38.810835,-107.7125535
,Larimer,Ent Wise Farm,8101 S Timberline Rd,,Fort Collins,CO,80525,(757) 650-4898,Yes,entwisefarm@gmail.com,entwisefarm.com,,ent_wise_farm,,May|June|July|August|September|October,8,,,,,,,,,,,No,Yes,No,,,,,,,,,,,,,"No pesticides, No Herbicides, No fungicides of any kind. We are growing into our dream of running a wholistic and ecologically minded model. Come say hello and see! Volunteer or share our outdoor coworking space. ",,9am - 12pm,40.47506013471421,-105.03953605256146
,Jefferson,Evergreen Farmers Market THE ORIGINAL,28253 Meadow Drive,,Evergreen,CO,80439,(303) 525-8062,No,loredanaspesto@aol.com,www.coloradooutdoormarkets.com,,@the_og_evergreen_farmersmarket,,June|July|September|August,2,,10 am 2 pm,,,,,,Farmers' Market,,Picnic Tables,No,No,Yes,,,,,,,,,,,,,"One of the most charming farmers markets in Colorado!25+ Years!  Dog & Elk Friendly!A picture-perfect farmersâ€™ market, tucked away in the beautiful Colorado mountains. The market shares its space with the beautiful Hiwan Park & trail. Picnic tables, shady pine trees, and a playground!",,,39.638655,-105.3209115
,Delta,First Fruits Organic Farms,14637 Peony Lane,Box 864,Paonia,CO,81428,(970) 201-8326,Yes,firstfruits@paonia.com,First Fruits Organic Farms,First Fruits Organic Farms,,Check out website.,June|July|August|September|October,2|3|4|5,,8:00 am - 4 p.m.,8:00 a.m. - 4:00 p.m.,8:00 a.m. - 4:00 p.m.,8:00 a.m. - 4:00 p.m.,,,,,,Yes,No,Yes,Colorado Department of Agriculture,Apples|Apricots|Cherries,Nectarines|Peaches|Pears,Plums,,,,,,,,,"Roadside market, wholesale, retail.  No U-Pick.  Visit us at the Boulder County Farmers Market,  and Longmont Farmers Market.",,,38.865294000000006,-107.604846
,Larimer,Fort Collins Winter Farmers Market,215 E. Foothills Pkwy,,Fort Collins,CO,80525,(919) 480-4133,No,hello@focowfm.com,https://www.winterfarmersmarket.com/,@fortcollinsmarkets,@fortcollinsmarkets,We are located inside of the Foothills Mall.,November|December|January|February|March|April,6,,,,,,10am-2pm,,Farmers' Market,,,No,Yes,Yes,,Apples|Beets|Broccoli|Brussels Sprouts|Cabbage|Carrots|Cucumbers,Eggplant|Garlic|Herbs|Kale|Leeks|Microgreens|Mushrooms|Onions,Pinto Beans|Potatoes|Pumpkins|Radishes|Spinach|Squash|Turnips,,Beef|Buffalo|Jerky|Lamb|Pork|Poultry|Sausage,,"crab, salmon",goat,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Wine|Juices | Handcrafted Gifts,"teas, pet treats, freeze dried food, kombucha, tempeh,  hot food.","Heading into our 19th season, the Winter Farmers Market hosts 90 local producers a week inside the Foothills mall. Serving fresh produce, local meats and dairy, breads and sweets, local artists, handcrafted goods, and more to our incredible Fort Collins community!",,,40.54457450505113,-105.07377621874086
,Morgan,Fort Morgan Farmers Market at The Block,19592 E. 8th Avenue,,Fort Morgan,CO,80701,(970) 867-7887,No,julie@theblock-mc.com,https://www.theblock-mc.com,https://www.facebook.com/theblockfortmorgan,https://www.instagram.com/theblockfortmorgan,,July|August|September|October,6,,,,,,9:00 am - 1:00 pm,,Roadside Market|Farmers' Market,Event Facilities,,No,No,Yes,,,,,,,,,,,,,"The Fort Morgan Farmers Market is back for it's fourth season at The Block. Experience and celebrate northeastern Colorado's agricultural roots with fresh produce, flowers, locally crafted items and more!",,,40.258053000001816,-103.7967772342029
,Delta,G Force Livestock,14844 E Road,,Delta,CO,81416,(928) 205-5151,Yes,gforcelivestock@gmail.com,,G Force Livestock Cattle Co,G Force Livestock,,January|February|March|April|May|June|July|August|September|October|November|December,1|2|3|4|5|6,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,8 am - 5 pm,,On-Farm/Ranch sales,,,No,No,Yes,,,,,,,,,100% Wagyu beef,,,,"We are a small family farm raising 100% Wagyu beef, selling directly to consumers, by the cut or as a share of a carcass. Quality over quantity is our objective.",,,38.709810000000004,-108.084699
,Mesa,Grande River Vineyards,787 Grande River Dr,Grande River Vineyards,Palisade,CO,81526,(970) 464-5867,No,sales@granderivervineyards.com,granderivervineyards.com,https://www.facebook.com/granderivervineyards,https://www.instagram.com/granderivervineyards/,,December|November|October|September|August|July|June|May|April|March|February|January,1|2|3|4|5|6|7|8,"11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)","11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)","11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)","11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)","11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)","11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)","11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)",Agritourism|Winery,Tours,,No,No,Yes,,,,,,,,,,,,,"Welcome to Grande River Vineyards, Colorado's premium wine-growing estate since 1987.","White wines, Red wines, Rose' and Sparkling wine","11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)",39.11855890650308,-108.36403775749277
,Jefferson,Grow Girl Organics,"12229 W. 80th Avenue, Unit B",,ARVADA,CO,80004,(303) 886-5645,Yes,GROWGIRLORGANICS@GMAIL.COM,growgirlogirlorganics.com,growgirlorganics,growgirlorganics,Behind the Community in Christ Church,May|June|July|August|September|October,6,,,,,,9am - 3pm,,CSA Farm,,"Farm stand every Saturday, Plant sale, farm to table dinner, harvest festival, chili cookoff",No,No,Yes,,Apples|Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Honeydew|Kale|Lettuce|Mushrooms|Leeks|Okra|Onions|Peaches|Pears,Peas|Plums|Potatoes|Pumpkins|Radishes|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,,,,,Baked Goods|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,,,We grow organically. We do not use any pesticides. We grow a wide variety of wonderful nutrient dense food!,,,39.842802000000006,-105.135525
,Weld,Hall Family Farmstand,120 County Road 39,,Brighton,CO,80603,(720) 935-2847,,clearwaterspringhighlands@msn.com,https://www.cshnaturalbeef.com/farmstand,https://www.facebook.com/cshmeats,https://www.instagram.com/clearwaterheritagefarm/,,May|June|July|August|September|October,6|7,,,,,,9am-2pm,9am-2pm,On-Farm/Ranch sales|Roadside Market|Agritourism,Tours,,No,No,No,,,,,,,,,,,,,"Welcome to our farm stand, where supporting local agriculture is at the heart of what we do! We proudly offer a variety of farm-fresh products, including beef, pork, chicken, and eggs. Explore our selection of vegetable plants, house plants, and indulge in our homemade breads and seasonable vegetables",,,40.003919999999994,-104.696613
,Fremont,High On The Hill Farm,2500 Hereford Dr,,CaÃ±on City,CO,81212,(719) 726-9200,Yes,HOTHFARM@GMAIL.COM,HighOnTheHillFarm.com,,,,January|February|March|April|May|June|August|July|September|November|October|December,8,,,,,,,,CSA Farm|On-Farm/Ranch sales|Sell to Schools|Roadside Market,,"Yoga & Meditation Center, Health & Wellness counseling ",No,Yes,No,,,,,,,,,,,,,"High On the Hill Farm is a small, all natural fruit, vegetable, culinary herb and medicinal herb farm and is the home of The AnÄ�hata Yoga & Meditation Center.  We offer wellness counseling utilizing mindful presence, a fresh, high nutrient density plant based diet and Ashtanga Yoga.  see our website for more info  ",,,38.48553000000001,-105.2130555
,Boulder,Lafayette Colorado Farmers Market,100 N Public Rd,,Lafayette,CO,80026,,No,info@lafayettefm.com,https://www.lafayettefm.com/,https://www.facebook.com/p/Lafayette-Farmers-Market-61571202432615/,@lafayettefarmersmarket,,May|June|July|August|September|October,7,,,,,,,9am - 1pm,Farmers' Market,,,No,Yes,Yes,N/A,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Brussels Sprouts|Cabbage|Cantaloupe|Carrots|Cauliflower|Celery|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Grapes|Green Beans|Herbs|Honeydew|Kale|Leeks|Lettuce|Microgreens|Mushrooms|Nectarines|Okra|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Radishes|Raspberries|Rhubarb|Spinach|Squash|Strawberries|Sweet Corn|Tomatoes|Turnips|Watermelon|Zucchini,,Beef|Lamb|Pork|Poultry|Sausage,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies|Pickles|Popcorn,Cider,,"The Lafayette Farmers Market in Colorado operates every Sunday from May until October, from 9 a.m. to 1 p.m. in downtown Lafayette. It features a growers-only selection from local farmers, ranchers, and artisans, offering fresh produce, meats, dairy, and prepared foods. ",,,39.998447999999996,-105.0902865
,Boulder,Lazy Acres Ranch LLC,13912 N 87th st,,Longmont,CO,80503,(303) 709-9176,Yes,lazyacresranchco@gmail.com,www.lazy-acres-ranch.com,Lazy Acres Ranch,Lazy Acres Ranch,,January|March|February|April|May|June|July|August|September|October|November|December,8,,,,,,,,On-Farm/Ranch sales,,,No,No,Yes,,,,,,Pork|Poultry|Sausage,,,Rabbit,Eggs,,,"Lazy Acres Ranch raises small batches of Berkshire pork, chicken and rabbit using regenerative principles and organic feed. Our goal is to manage the animals so they are happy, healthy and their impact improves soil health all while producing nutrient dense food for our family and yours. ",,By appointment,40.22792100000001,-105.149196
,Weld,Legacy Meats,402 5th Street,271,Kersey,CO,80644,(970) 352-3677,Yes,belliottcattle@gmail.com,legacymeats.net,,,,January|February|March|April|May|June|July|August|September|October|November|December,2|3|4|5,,9a-3pm,9a-3pm,9a-3pm,9a-3pm,,,On-Farm/Ranch sales|Sell to Schools,,Beef and Pork ,No,No,Yes,,,,,,,,,,,,,Local beef and pork products available for single purchases or bulk buy options. ,,,40.386708,-104.559399
,Boulder,Long's Gardens,3240 Broadway St,,Boulder,CO,80304,(303) 442-2353,No,info@longsgardens.com,www.longsgardens.com,,www.instagram.com/longsgardens,,April|May|June,8,,,,,,,,Centennial Farm/Ranch|On-Farm/Ranch sales|U-pick|Agritourism,Tours,,No,No,No,,,,,,,,,,,,,"121 year old family business specializing in U-dig and mail order iris plants. Open April 18 - June 14. Fields open for viewing during Spring bloom season dawn to dusk, sales 9-5. Tours by prior arrangement. Check website and Instagram for bloom season status.",,,40.034475000000015,-105.2813745
,Jefferson,Malara Gardens,7190 Kipling St,,Arvada,CO,80004,(303) 424-1452,No,lisa@malaragardens.com,www.malaragardens.com,https://www.facebook.com/malaragardens,malaragardens,,March|April|May|June|July|August|September|October|November|December,8,,,,,,,,Garden Center|Greenhouse,Pumpkin Patch|Christmas Trees,,No,No,No,,Apples|Apricots|Asparagus|Beets|Bell Peppers|Broccoli|Cabbage|Cantaloupe|Cauliflower|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Eggplant|Garlic|Green Beans|Herbs|Lettuce|Nectarines|Onions|Peaches|Pears,Peas|Pinto Beans|Plums|Potatoes|Pumpkins|Rhubarb|Squash|Sweet Corn|Tomatoes|Watermelon|Zucchini,,,,,,Honey|Jams|Jellies|Pickles,Cider|Juices,Christmas Trees,We are a family owned business located on the corner of 72nd & Kipling. Offering all of your bedding plant needs along with vegetable and herb starts in the spring and a daily farmers market in the summer with fresh fruit and produce from all over Colorado. ,,,39.826746000000014,-105.109335
,Arapahoe,Mayberry Farm,6889 S County Road 185,,Byers,CO,80103,(303) 249-8335,Yes,farmatmayberry@gmail.com,https://mayberryfarm.eatfromfarms.com/,Mayberry Farm Kercher Ranch,Kercher_Ranch,,January|February|March|April|May|June|July|August|September|October|November|December,8,,,,,,,,On-Farm/Ranch sales,,,No,No,No,,,,,,Beef|Pork|Poultry|Sausage,,,,Eggs,,,"By appointment
On-farm/ranch sales: Dexter and Dexter cross cattle and Idaho Pasture Pigs.
Farm-raised meat for sale: Beef whole, half or quarter and individual cuts
Pork whole or half and individual cuts 
Whole Chickens and Turkeys.
Contact us for availability. Some meats are seasonal.",,,39.59055900000001,-104.195943
,Weld,Mazzotti Farms llc,24120 County Road 8,"Hudson, Co 80642",Hudson,CO,80642,(303) 710-2409,Yes,amazzotti@aol.com,mazzottifarms.com,Mazzotti Farms,,"I-76 to the Hudson Exit, go East on Hwy 52 to County Road 49 then South to County Road 8 then east and follow signs",October,6|7,,,,,,10 a.m. - 5 p.m.,10 a.m. - 5 p.m.,Agritourism,Corn Maze|Pumpkin Patch,,No,No,No,,,,Pumpkins,,,,,,,,,"10- acre scare free corn maze, u-pick pumpkin patch. Family owned and operated. Check Facebook for daily weather updates, will close in case of wet or dangerous weather.",,,40.04359199999999,-104.60070449999999
,Eagle,Minturn Market,100 Main St. ,,Minturn,CO,81645,(970) 445-2415,No,events@minturn.org,www.minturn.org,https://www.facebook.com/minturnmarket/,https://www.instagram.com/minturnmarket/,,June|July|August|September,6,,,,,,"9am - 2pm, Saturdays  June 20th through September 12th (Closed on July 4th)",,Farmers' Market,,,No,No,Yes,,Apples|Apricots|Bell Peppers|Beets|Cantaloupe|Carrots|Cherries|Cucumbers,Green Beans|Herbs|Honeydew|Microgreens|Mushrooms|Nectarines|Onions|Peaches|Pears|Eggplant,Peas|Plums|Potatoes|Radishes|Raspberries|Squash|Strawberries|Sweet Corn|Tomatoes|Watermelon|Zucchini,,Beef|Lamb|Pork,,,,Baked Goods|Cheese|Eggs|Honey|Jams|Jellies,Wine,Handcrafted Gifts,"Family-friendly artisan market featuring food trucks, fresh produce, baked goods, art & pottery, clothing & jewelry, pet products & more.  Live music, live art demonstrations, whisky and wine tastings, as well as a Kids Zone. ",,,39.589326,-106.4317455
,Delta,Orchard Valley Farms & Market.   Black Bridge Winery,15836 Black Bridge Rd,,Paonia,CO,81428,(970) 527-6838,,webaction@orchardvalleyfarms.com,orchardvalleyfarms.com,,,,May|June|July|August|September|October|November,8,,,,,,,,Agritourism|Farmers' Market|On-Farm/Ranch sales|U-pick|Winery,Christmas Trees|Event Facilities|Pumpkin Patch|Tours,,No,No,Yes,,Apples|Cantaloupe|Cherries|Chile Peppers|Chile - Roasted|Cucumbers,Peaches|Okra|Nectarines|Grapes|Eggplant,Pinto Beans|Pumpkins|Raspberries|Sweet Corn|Tomatoes|Watermelon|Zucchini,"Blackberries, winter squash, gourds",Beef|Sausage,,,,Cheese|Honey|Jams|Jellies|Pickles|Popcorn,Christmas Trees|Handcrafted Gifts,"Lavender, cosmetics, chutney, hot sauce, green chili sauce, noodles, coffee, tea, syrups, balsamic vinegars and oils, snacks, chips.",We are family owned and operated.  Visitors enjoy u-picking fruit and vegetables and sipping on a glass of Black Bridge wine by the river.  We have an on site market with local products and our tasting room with a large selection of our estate grown wines.,"Chardonnay, Riesling, Blush, Cherry, Pinot Noir, Red and white blends.",10 a.m. - 6 p.m.,38.887091999999996,-107.580996
