Business Name,Category,Address,City,County,State,Zip,Phone,Call first?,Website,Email,Facebook,Instagram,Hours,Months Open,Products,Certified Organic,SNAP,ADA Accessible,Notes,Latitude,Longitude,Source,Geo Source,Possible Dup Of,Provenance
Black Forest Farmers Market,Farmers' Market,10915 Black Forest Road,Black Forest,El Paso,CO,80908,(719) 433-3936,,,,,,,,,,,,,38.98934999433783,-104.69941899399247,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Boulder Farmers Market,Farmers' Market,13th St & Canyon Blvd Unit D,Boulder,Boulder,CO,80302,(720) 612-8185,No,https://bcfm.org/markets/boulder-farmers-market/,hello@bcfm.org,https://www.facebook.com/BoulderFarmersMarket,https://www.instagram.com/boulderfarmersmarket/,Wed: 3:30 - 7:30 p.m.; Sat: 8:00 a.m. - 2:00 p.m.,"April, May, June, July, August, September, October, November","Apples, Asparagus, Apricots, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Buffalo, Jerky, Lamb, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Pickles, Popcorn",No,Yes,Yes,"Join us at the Boulder Farmers Market! Here you'll meet your local farmers, ranchers, beekeepers, and entrepreneurs selling everything from fresh produce, meat, cheese, fresh bread and pastries, as well as delicious ready-to-eat options for breakfast and lunch.",40.01619600000177,-105.27801750000235,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Breckenridge Sunday Market,Farmers' Market,505 S Main Street Main Street Station,Breckenridge,Summit,CO,80424,(970) 471-9029,No,https://rockymountainevents.com/,info@rockymtnevents.com,Breckenridge Sunday Market,brecksundaymarket,Sun: 10:00am - 3:00pm,"June, July, August, September","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Green Beans, Herbs, Kale, Lettuce, Nectarines, Onions, Peaches, Peas, Plums, Potatoes, Spinach, Squash, Tomatoes, Zucchini, Beef, Buffalo, Jerky, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Pickles, Jellies, Popcorn, Juices, Handcrafted Gifts",No,No,Yes,,39.47679420900005,-106.04489474799999,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud""}"
Lulu's Farm Roadside Market,Farmers' Market,13201 E 144th Ave,Brighton,Adams,CO,80601,(303) 659-3300,,http://lulusfarm.com,,http://www.facebook.com/LulusFarm,,,,,,,,,39.95782307507426,-104.83521804518494,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Buena Vista Farmers' Market,Farmers' Market,South Main Town Square,Buena Vista,Chaffee,CO,81211,(719) 398-0301,,https://www.foodshedalliance.com/,info@FoodshedAlliance.com*admin@foodshedalliance.com,,,,,,,,,,38.841753019411925,-106.11883101338466,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Boulter's 5280 Urban Market,Farmers' Market,560 Castle Pines Pkwy,Castle Pines,Douglas,CO,80108,(720) 885-8618,,https://boulters5280urbanmarket.com/,matthew@boultersfarmersmarkets.com*matthew@boulters5280urbanmarket.com,https://www.facebook.com/Boulters5280UrbanMarket/,,,,,,,,,39.471872005399426,-104.89494759524425,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Castle Rock Farmers Market,Farmers' Market,500 Fairgrounds Drive,Castle Rock,Douglas,CO,80104,(719) 401-1495,,https://originalcastlerockfarmersmarket.com/,originalcrfm@gmail.com,https://www.facebook.com/castlerockfarmersmarket,,Sat: 8:00am to 12:30pm,"June, July, August, September, October",,No,No,Yes,The Castle Rock Farmers Market has provided Douglas County residents with a local market where they can purchase fresh produce and artisan made food and goods for over 30 years.,39.36276000000001,-104.85126,colorado_proud+usda,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Royal Gorge Farmers Market,Farmers' Market,"816 Royal Gorge Blvd, Ca̱on City, CO 81212, USA",Ca̱on City,Fremont,CO,81212,(719) 275-2331,No,https://www.royalgorgechamberalliance.org/royal-gorge-farmers-market/,foundation@royalgorgechamberalliance.org,https://www.facebook.com/royalgorgefarmersmarket,,Sat: 9 am-1 pm,"July, August, September","Apples, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Celery, Cherries, Cucumbers, Peaches, Pears, Onions, Mushrooms, Microgreens, Lettuce, Kale, Green Beans, Eggplant, Pinto Beans, Potatoes, Radishes, Raspberries, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Zucchini, Beef, Sausage, Pork, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Handcrafted Gifts",No,No,Yes,"The Royal Gorge Farmers Market operates during the summer and early fall months, offering a vibrant atmosphere for locals and visitors to enjoy fresh produce, handmade goods, and unique crafts.",38.44133099999999,-105.2351235,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Cedaredge Main Street Farmer's Market,Farmers' Market,175 E Main St,Cedaredge,Delta,CO,81413,(970) 985-2945,,,,https://www.facebook.com//pages/Cedaredge-Main-Street-Farmers-Market/315722935169618,,,,,,,,,38.90073192649329,-107.92260180579235,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
The Saturday Market at Tagawa Gardens,Farmers' Market,7711 S. Parker Rd.,Centennial,Arapahoe,CO,80016,(303) 690-4722,,https://www.tagawagardens.com/,houseplants@tagawagardens.com,,,,,,,,,,39.57697994228567,-104.79224604829794,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Plateau Valley Farmers Market,Farmers' Market,2003 High Street,Collbran,Mesa,CO,81624,(970) 773-1916,,https://www.collbrancongregationalchurch.org/events_collbran_congregational.html,larkmanc@ucc.org,https://facebook.com/UnitedChurchofChrist,,,,,,,,,39.23904797958167,-107.96236398069298,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Backyard Market in Black Forest - Holiday,Farmers' Market,13710 Black Forest Road,Colorado Springs,El Paso,CO,80908,(719) 306-3049,,https://thebackyardmarkets.com,manager@bfbackyardfarmersmarket.com,https://www.facebook.com/BackyardMarketinBF/,,,,,,,,Open: December; <br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Crafts/woodworking items;Dairy products.;Dry beans;Eggs;Fresh/dried herbs;Grains/flour;Honey;Juices/non-alcoholic ciders;Mushrooms;Pet food;Poultry/fowl meat and products;Prepared foods;Red/other non-poultry meat and products;Soap/body care products;,39.029861,-104.70169,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""Notes"":""usda"",""County"":""census-geocoder""}"
Briargate Farmers' Market,Farmers' Market,7610 N. Union,Colorado Springs,El Paso,CO,80920,(719) 592-9420,,,,,,,,,,,,,38.94334000951767,-104.7753469668214,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Colorado Farm and Art Market,Farmers' Market,"7350 Pine Creek Road, Colorado Springs, CO 80919, USA",Colorado Springs,El Paso,CO,80905,(719) 640-6154,No,https://www.farmandartmarket.com,farmandartmarket@gmail.com,https://www.facebook.com/farmandartmarket,,Sat: 10am-2pm,"June, July, August, September, October","Cherries, Apples, Apricots, Beets, Bell Peppers, Broccoli, Cabbage, Carrots, Cauliflower, Chile Peppers, Chile - Roasted, Cucumbers, Cantaloupe, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Mushrooms, Nectarines, Onions, Peaches, Pears, Plums, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Poultry, Pork, Jerky, Lamb, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles",No,No,Yes,Open: June to October; <br>Available Products: Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Crafts/woodworking items;Cut flowers;Dairy products.;Dry beans;Eggs;Fish/seafood;Fresh/dried herbs;Honey;Juices/non-alcoholic ciders;Mushrooms;Poultry/fowl meat and products;Prepared foods;Red/other non-poultry meat and products;Soap/body care products;,38.93780699999999,-104.814981,colorado_proud+usda,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Email"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Website"":""usda"",""Facebook"":""usda"",""Notes"":""usda""}"
Downtown Sunday Market,Farmers' Market,115 E. Platte Ave.,Colorado Springs,El Paso,CO,80903,(719) 243-6693,,http://www.downtowncs.com/experience-downtown/sunday-market-downtown.html,infomarket@ppcf.org,https://www.facebook.com/DowntownSundayMarket,,,,,,,,,38.83786201422936,-104.82244496458324,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Memorial Park Farmers' Market,Farmers' Market,1605 E. Pikes Peak Ave.,Colorado Springs,El Paso,CO,80916,(719) 574-1284,,http://springsbargains.com/colorado-springs-farmers-market-schedule/,Email not found,,,,,,,,,,38.83271418244178,-104.74283489950723,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Email"":""usda"",""Website"":""usda"",""County"":""census-geocoder""}"
Old Colorado City Farmers Market,Farmers' Market,2408 West Colorado Avenue,Colorado Springs,El Paso,CO,80904,(719) 574-1283,,,,,,,,,,,,,38.84689100032992,-104.86115896369384,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Southeast Farmers Market,Farmers' Market,2050 Jet Wing Drive,Colorado Springs,El Paso,CO,80916,(719) 491-2746,,,sonya.sefc@gmail.com,,,Sun: 11am-3pm,"June, July, September, August, October","Apples, Apricots, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Mushrooms, Nectarines, Onions, Peaches, Pears, Plums, Potatoes, Pumpkins, Radishes, Rhubarb, Spinach, Squash, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Jerky, Lamb, Pork, Poultry, Baked Goods, Eggs, Cheese, Honey, Jams, Jellies, Pickles",No,No,Yes,,38.80170609195172,-104.75033733075064,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Phone"":""colorado_proud"",""Email"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud""}"
The Backyard Market in Black Forest,Farmers' Market,6845 Shoup Rd,Colorado Springs,El Paso,CO,80908,,No,https://thebackyardmarkets.com,theda@thebackyardmarkets.com,@backyardmarketinbf,@backyardmarketinbf,Sat: 9am-1pm,"May, June, July, August, September, October, November, December, January, February","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Grapes, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, corn,, Beef, Buffalo, Lamb, Pork, Poultry, Sausage, Wild Caught Atlantic Salmon, Black Cod, and Halibut, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider, Juices, tortillas, salsa, granola, juice, milk, goat milk, cured meats, sherbet, pasta, pasta sauce, quinoa, nut butters,",No,Yes,Yes,"Located in beautiful Black Forest the farmers market hosts over 60 vendors each week with live music, a free educational kids corner activity,  Food trucks, and more. An off-season winter market also runs at this location October through February.",39.012471000000005,-104.6998125,colorado_proud+usda,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Cortez Farmers Market,Farmers' Market,109 W Main St,Cortez,Montezuma,CO,81321,,,http://www.cortezfarmmarket.com,,http://www.facebook.com/cortezfarmersmarket,,,,,,,,,37.34859634604308,-108.58671808753023,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Website"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
Cotopaxi Farmers Market,Farmers' Market,20326 US Hwy 50,Cotopaxi,Fremont,CO,81223,(719) 942-3700,,,,https://www.facebook.com/pages/Cotopaxi-Farmers-Market/1384847291754517?fref=ts,,,,,,,,,38.3709234406348,-105.68656277578998,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
"Creede Farmers, Local Artisan and Antique Market",Farmers' Market,23 Main Street,Creede,Mineral,CO,81130,(719) 873-5466,,,,,,,,,,,,,37.852688190898256,-106.9270338219439,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Phone"":""usda"",""County"":""census-geocoder""}"
Crested Butte Farmers Market,Farmers' Market,100 Elk Ave.,Crested Butte,Gunnison,CO,81224,,No,https://www.cbfarmersmarket.org,info@cbfarmersmarket.org,Crested Butte Farmers Market,cbfarmersmarket,Sun: 9am - 2pm,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Onions, Peaches, Pears, Peas, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Squash, Strawberries, Spinach, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Pork, Poultry, Pickles, Jellies, Jams, Honey, Eggs, Cheese, Baked Goods, Cider, Juices, Wine, Handcrafted Gifts",No,Yes,Yes,"The CB Farmers Market is dedicated to promoting sustainable agriculture.  We offer organic and naturally grown vegetables, fruits, herbs, pasture-raised and grass-finished meats, artisanal cheese, wine, hard ciders & juices, breads, jams, pickles, cut flowers and a local arts and crafts.",38.869700704303106,-106.98901490948651,colorado_proud,source,,"{""Business Name"":""colorado_proud"",""Address"":""colorado_proud"",""City"":""colorado_proud"",""County"":""colorado_proud"",""Zip"":""colorado_proud"",""Website"":""colorado_proud"",""Email"":""colorado_proud"",""Facebook"":""colorado_proud"",""Instagram"":""colorado_proud"",""Hours"":""colorado_proud"",""Months Open"":""colorado_proud"",""Products"":""colorado_proud"",""Certified Organic"":""colorado_proud"",""SNAP"":""colorado_proud"",""ADA Accessible"":""colorado_proud"",""Notes"":""colorado_proud""}"
Crestone Farmers Market,Farmers' Market,West Silver Avenue,Crestone,Saguache,CO,81131,,,,,https://www.facebook.com/pg/crestone-saturday-market-971362449550294/about/?ref=page_internal,,,,,,,,,37.994247928590546,-105.7004601913917,usda,source,,"{""Business Name"":""usda"",""Address"":""usda"",""City"":""usda"",""Zip"":""usda"",""Facebook"":""usda"",""County"":""census-geocoder""}"
