Business Name,Category,Address,City,County,State,Zip,Phone,Call first?,Website,Email,Facebook,Instagram,Hours,Months Open,Products,Certified Organic,SNAP,ADA Accessible,Notes,Latitude,Longitude
DeVries Fruit & Veggie Roadside Stand,Roadside Market,60542 Gunnison Road,Olathe,Montrose,CO,81425-9324,(970) 323-6559,No,devriesproduce.com,,DeVries - Fruit & Veggies,,Mon: 9 a.m. -5 p.m.; Tue: 9 a.m. - 5 p.m.; Wed: 9 a.m. - 5 p.m.; Thu: 9 a.m. - 5 p.m.; Fri: 9 a.m. - 5 p.m.; Sat: 9 a.m. - 5 p.m.; Sun: 9 a.m.- 5 p.m.,"June, July, August, September, October, November","Apples, Apricots, Asparagus, Beets, Bell Peppers, Cabbage, Cantaloupe, Carrots, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Garlic, Green Beans, Herbs, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Squash, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Lamb, Pork, Cheese, Honey, Jams, Jellies, Pickles, Cider",No,Yes,No,"DeVries Fruit & Veggies (Since 1943).  Located North of Montrose on Highway 50 between Mile Markers 85 & 86.  
Pumpkin Patch / Corn Maze (end of September - October). Horse drawn Wagon Rides late October.",38.565027000000015,-107.957547
Downtown Grand Junction Market on Main,Farmers' Market,101 s 3rd Street Suite 100,Grand Junction,Mesa,CO,81501,(970) 255-4923,No,downtowngj.org/events/market-on-main/,jed@downtowngj.org,facebook.com/downtowngj,instagram.com/downtowngj,Thu: 5:30 p.m. - 8:30 p.m.,"July, August, September",,No,Yes,Yes,"Parking available along side streets and in the 5th & Rood parking garage. Parking is free after 4 p.m. All products are made or grown in the local region. We welcome SNAP, and Double Up Food Bucks.",39.067092,-108.5680845
"Elevation Mountain Grown Herbal Tea, LLC",U-Pick,34691 JACOBS RD,Hotchkiss,Delta,CO,81419,(303) 842-2709,No,www.elevationherbaltea.com,hello@elevationherbaltea.com,https://www.facebook.com/mountaingrownherbaltea,https://www.instagram.com/elevationherbaltea/,Mon: 8:30-12:30; Tue: 8:30-12:30; Wed: 8:30-12:30; Thu: 8:30-12:30; Fri: 8:30-12:30; Sat: 8:30-12:30,"June, July, August, September, October","Herbs, Raspberries, Strawberries, Honey, Herbal Tea",No,No,No,"Elevation Mountain Grown Herbal Tea is a woman-owned, home-grown, farm-to-teacup business. Every tea creation step happens onsite. Visit our cultivation fields. Take a tour and see how we wash, dry, grind, blend and package our teas. Pick your own berries, herbs and flowers. Sample the tea. Browse our gift shop.",38.810835,-107.7125535
Ent Wise Farm,Other,8101 S Timberline Rd,Fort Collins,Larimer,CO,80525,(757) 650-4898,Yes,entwisefarm.com,entwisefarm@gmail.com,,ent_wise_farm,,"May, June, July, August, September, October",,No,Yes,No,"No pesticides, No Herbicides, No fungicides of any kind. We are growing into our dream of running a wholistic and ecologically minded model. Come say hello and see! Volunteer or share our outdoor coworking space.",40.47506013471421,-105.03953605256146
Evergreen Farmers Market THE ORIGINAL,Farmers' Market,28253 Meadow Drive,Evergreen,Jefferson,CO,80439,(303) 525-8062,No,www.coloradooutdoormarkets.com,loredanaspesto@aol.com,,@the_og_evergreen_farmersmarket,Tue: 10 am 2 pm,"June, July, September, August",,No,No,Yes,"One of the most charming farmers markets in Colorado!25+ Years!  Dog & Elk Friendly!A picture-perfect farmersâ€™ market, tucked away in the beautiful Colorado mountains. The market shares its space with the beautiful Hiwan Park & trail. Picnic tables, shady pine trees, and a playground!",39.638655,-105.3209115
First Fruits Organic Farms,Other,14637 Peony Lane Box 864,Paonia,Delta,CO,81428,(970) 201-8326,Yes,First Fruits Organic Farms,firstfruits@paonia.com,First Fruits Organic Farms,,Tue: 8:00 am - 4 p.m.; Wed: 8:00 a.m. - 4:00 p.m.; Thu: 8:00 a.m. - 4:00 p.m.; Fri: 8:00 a.m. - 4:00 p.m.,"June, July, August, September, October","Apples, Apricots, Cherries, Nectarines, Peaches, Pears, Plums",Yes,No,Yes,"Roadside market, wholesale, retail.  No U-Pick.  Visit us at the Boulder County Farmers Market,  and Longmont Farmers Market.",38.865294000000006,-107.604846
Fort Collins Winter Farmers Market,Farmers' Market,215 E. Foothills Pkwy,Fort Collins,Larimer,CO,80525,(919) 480-4133,No,https://www.winterfarmersmarket.com/,hello@focowfm.com,@fortcollinsmarkets,@fortcollinsmarkets,Sat: 10am-2pm,"November, December, January, February, March, April","Apples, Beets, Broccoli, Brussels Sprouts, Cabbage, Carrots, Cucumbers, Eggplant, Garlic, Herbs, Kale, Leeks, Microgreens, Mushrooms, Onions, Pinto Beans, Potatoes, Pumpkins, Radishes, Spinach, Squash, Turnips, Beef, Buffalo, Jerky, Lamb, Pork, Poultry, Sausage, crab, salmon, goat, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Wine, Juices, Handcrafted Gifts, teas, pet treats, freeze dried food, kombucha, tempeh,  hot food.",No,Yes,Yes,"Heading into our 19th season, the Winter Farmers Market hosts 90 local producers a week inside the Foothills mall. Serving fresh produce, local meats and dairy, breads and sweets, local artists, handcrafted goods, and more to our incredible Fort Collins community!",40.54457450505113,-105.07377621874086
Fort Morgan Farmers Market at The Block,Farmers' Market,19592 E. 8th Avenue,Fort Morgan,Morgan,CO,80701,(970) 867-7887,No,https://www.theblock-mc.com,julie@theblock-mc.com,https://www.facebook.com/theblockfortmorgan,https://www.instagram.com/theblockfortmorgan,Sat: 9:00 am - 1:00 pm,"July, August, September, October",,No,No,Yes,"The Fort Morgan Farmers Market is back for it's fourth season at The Block. Experience and celebrate northeastern Colorado's agricultural roots with fresh produce, flowers, locally crafted items and more!",40.258053000001816,-103.7967772342029
G Force Livestock,On-Farm / Ranch Sales,14844 E Road,Delta,Delta,CO,81416,(928) 205-5151,Yes,,gforcelivestock@gmail.com,G Force Livestock Cattle Co,G Force Livestock,Mon: 8 am - 5 pm; Tue: 8 am - 5 pm; Wed: 8 am - 5 pm; Thu: 8 am - 5 pm; Fri: 8 am - 5 pm; Sat: 8 am - 5 pm,"January, February, March, April, May, June, July, August, September, October, November, December",100% Wagyu beef,No,No,Yes,"We are a small family farm raising 100% Wagyu beef, selling directly to consumers, by the cut or as a share of a carcass. Quality over quantity is our objective.",38.709810000000004,-108.084699
Grande River Vineyards,Winery,787 Grande River Dr Grande River Vineyards,Palisade,Mesa,CO,81526,(970) 464-5867,No,granderivervineyards.com,sales@granderivervineyards.com,https://www.facebook.com/granderivervineyards,https://www.instagram.com/granderivervineyards/,"Mon: 11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall); Tue: 11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall); Wed: 11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall); Thu: 11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall); Fri: 11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall); Sat: 11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall); Sun: 11am-5pm(Winter), 9am-5pm(Spring, Summer, Fall)","December, November, October, September, August, July, June, May, April, March, February, January","White wines, Red wines, Rose' and Sparkling wine",No,No,Yes,"Welcome to Grande River Vineyards, Colorado's premium wine-growing estate since 1987.",39.11855890650308,-108.36403775749277
Grow Girl Organics,CSA Farm,"12229 W. 80th Avenue, Unit B",ARVADA,Jefferson,CO,80004,(303) 886-5645,Yes,growgirlogirlorganics.com,GROWGIRLORGANICS@GMAIL.COM,growgirlorganics,growgirlorganics,Sat: 9am - 3pm,"May, June, July, August, September, October","Apples, Asparagus, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Honeydew, Kale, Lettuce, Mushrooms, Leeks, Okra, Onions, Peaches, Pears, Peas, Plums, Potatoes, Pumpkins, Radishes, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Baked Goods, Eggs, Honey, Jams, Jellies, Pickles, Popcorn",No,No,Yes,We grow organically. We do not use any pesticides. We grow a wide variety of wonderful nutrient dense food!,39.842802000000006,-105.135525
Hall Family Farmstand,Roadside Market,120 County Road 39,Brighton,Weld,CO,80603,(720) 935-2847,,https://www.cshnaturalbeef.com/farmstand,clearwaterspringhighlands@msn.com,https://www.facebook.com/cshmeats,https://www.instagram.com/clearwaterheritagefarm/,Sat: 9am-2pm; Sun: 9am-2pm,"May, June, July, August, September, October",,No,No,No,"Welcome to our farm stand, where supporting local agriculture is at the heart of what we do! We proudly offer a variety of farm-fresh products, including beef, pork, chicken, and eggs. Explore our selection of vegetable plants, house plants, and indulge in our homemade breads and seasonable vegetables",40.003919999999994,-104.696613
High On The Hill Farm,CSA Farm,2500 Hereford Dr,CaÃ±on City,Fremont,CO,81212,(719) 726-9200,Yes,HighOnTheHillFarm.com,HOTHFARM@GMAIL.COM,,,,"January, February, March, April, May, June, August, July, September, November, October, December",,No,Yes,No,"High On the Hill Farm is a small, all natural fruit, vegetable, culinary herb and medicinal herb farm and is the home of The AnÄ�hata Yoga & Meditation Center.  We offer wellness counseling utilizing mindful presence, a fresh, high nutrient density plant based diet and Ashtanga Yoga.  see our website for more info",38.48553000000001,-105.2130555
Lafayette Colorado Farmers Market,Farmers' Market,100 N Public Rd,Lafayette,Boulder,CO,80026,,No,https://www.lafayettefm.com/,info@lafayettefm.com,https://www.facebook.com/p/Lafayette-Farmers-Market-61571202432615/,@lafayettefarmersmarket,Sun: 9am - 1pm,"May, June, July, August, September, October","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Brussels Sprouts, Cabbage, Cantaloupe, Carrots, Cauliflower, Celery, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Grapes, Green Beans, Herbs, Honeydew, Kale, Leeks, Lettuce, Microgreens, Mushrooms, Nectarines, Okra, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Radishes, Raspberries, Rhubarb, Spinach, Squash, Strawberries, Sweet Corn, Tomatoes, Turnips, Watermelon, Zucchini, Beef, Lamb, Pork, Poultry, Sausage, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Pickles, Popcorn, Cider",No,Yes,Yes,"The Lafayette Farmers Market in Colorado operates every Sunday from May until October, from 9 a.m. to 1 p.m. in downtown Lafayette. It features a growers-only selection from local farmers, ranchers, and artisans, offering fresh produce, meats, dairy, and prepared foods.",39.998447999999996,-105.0902865
Lazy Acres Ranch LLC,On-Farm / Ranch Sales,13912 N 87th st,Longmont,Boulder,CO,80503,(303) 709-9176,Yes,www.lazy-acres-ranch.com,lazyacresranchco@gmail.com,Lazy Acres Ranch,Lazy Acres Ranch,,"January, March, February, April, May, June, July, August, September, October, November, December","Pork, Poultry, Sausage, Rabbit, Eggs",No,No,Yes,"Lazy Acres Ranch raises small batches of Berkshire pork, chicken and rabbit using regenerative principles and organic feed. Our goal is to manage the animals so they are happy, healthy and their impact improves soil health all while producing nutrient dense food for our family and yours.",40.22792100000001,-105.149196
Legacy Meats,On-Farm / Ranch Sales,402 5th Street 271,Kersey,Weld,CO,80644,(970) 352-3677,Yes,legacymeats.net,belliottcattle@gmail.com,,,Tue: 9a-3pm; Wed: 9a-3pm; Thu: 9a-3pm; Fri: 9a-3pm,"January, February, March, April, May, June, July, August, September, October, November, December",,No,No,Yes,Local beef and pork products available for single purchases or bulk buy options.,40.386708,-104.559399
Long's Gardens,U-Pick,3240 Broadway St,Boulder,Boulder,CO,80304,(303) 442-2353,No,www.longsgardens.com,info@longsgardens.com,,www.instagram.com/longsgardens,,"April, May, June",,No,No,No,"121 year old family business specializing in U-dig and mail order iris plants. Open April 18 - June 14. Fields open for viewing during Spring bloom season dawn to dusk, sales 9-5. Tours by prior arrangement. Check website and Instagram for bloom season status.",40.034475000000015,-105.2813745
Malara Gardens,Garden Center / Greenhouse,7190 Kipling St,Arvada,Jefferson,CO,80004,(303) 424-1452,No,www.malaragardens.com,lisa@malaragardens.com,https://www.facebook.com/malaragardens,malaragardens,,"March, April, May, June, July, August, September, October, November, December","Apples, Apricots, Asparagus, Beets, Bell Peppers, Broccoli, Cabbage, Cantaloupe, Cauliflower, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Eggplant, Garlic, Green Beans, Herbs, Lettuce, Nectarines, Onions, Peaches, Pears, Peas, Pinto Beans, Plums, Potatoes, Pumpkins, Rhubarb, Squash, Sweet Corn, Tomatoes, Watermelon, Zucchini, Honey, Jams, Jellies, Pickles, Cider, Juices, Christmas Trees",No,No,No,We are a family owned business located on the corner of 72nd & Kipling. Offering all of your bedding plant needs along with vegetable and herb starts in the spring and a daily farmers market in the summer with fresh fruit and produce from all over Colorado.,39.826746000000014,-105.109335
Mayberry Farm,On-Farm / Ranch Sales,6889 S County Road 185,Byers,Arapahoe,CO,80103,(303) 249-8335,Yes,https://mayberryfarm.eatfromfarms.com/,farmatmayberry@gmail.com,Mayberry Farm Kercher Ranch,Kercher_Ranch,,"January, February, March, April, May, June, July, August, September, October, November, December","Beef, Pork, Poultry, Sausage, Eggs",No,No,No,"By appointment
On-farm/ranch sales: Dexter and Dexter cross cattle and Idaho Pasture Pigs.
Farm-raised meat for sale: Beef whole, half or quarter and individual cuts
Pork whole or half and individual cuts 
Whole Chickens and Turkeys.
Contact us for availability. Some meats are seasonal.",39.59055900000001,-104.195943
Mazzotti Farms llc,Agritourism,"24120 County Road 8 Hudson, Co 80642",Hudson,Weld,CO,80642,(303) 710-2409,Yes,mazzottifarms.com,amazzotti@aol.com,Mazzotti Farms,,Sat: 10 a.m. - 5 p.m.; Sun: 10 a.m. - 5 p.m.,October,Pumpkins,No,No,No,"10- acre scare free corn maze, u-pick pumpkin patch. Family owned and operated. Check Facebook for daily weather updates, will close in case of wet or dangerous weather.",40.04359199999999,-104.60070449999999
Minturn Market,Farmers' Market,100 Main St.,Minturn,Eagle,CO,81645,(970) 445-2415,No,www.minturn.org,events@minturn.org,https://www.facebook.com/minturnmarket/,https://www.instagram.com/minturnmarket/,"Sat: 9am - 2pm, Saturdays  June 20th through September 12th (Closed on July 4th)","June, July, August, September","Apples, Apricots, Bell Peppers, Beets, Cantaloupe, Carrots, Cherries, Cucumbers, Green Beans, Herbs, Honeydew, Microgreens, Mushrooms, Nectarines, Onions, Peaches, Pears, Eggplant, Peas, Plums, Potatoes, Radishes, Raspberries, Squash, Strawberries, Sweet Corn, Tomatoes, Watermelon, Zucchini, Beef, Lamb, Pork, Baked Goods, Cheese, Eggs, Honey, Jams, Jellies, Wine, Handcrafted Gifts",No,No,Yes,"Family-friendly artisan market featuring food trucks, fresh produce, baked goods, art & pottery, clothing & jewelry, pet products & more.  Live music, live art demonstrations, whisky and wine tastings, as well as a Kids Zone.",39.589326,-106.4317455
Orchard Valley Farms & Market.   Black Bridge Winery,Winery,15836 Black Bridge Rd,Paonia,Delta,CO,81428,(970) 527-6838,,orchardvalleyfarms.com,webaction@orchardvalleyfarms.com,,,,"May, June, July, August, September, October, November","Apples, Cantaloupe, Cherries, Chile Peppers, Chile - Roasted, Cucumbers, Peaches, Okra, Nectarines, Grapes, Eggplant, Pinto Beans, Pumpkins, Raspberries, Sweet Corn, Tomatoes, Watermelon, Zucchini, Blackberries, winter squash, gourds, Beef, Sausage, Cheese, Honey, Jams, Jellies, Pickles, Popcorn, Christmas Trees, Handcrafted Gifts, Lavender, cosmetics, chutney, hot sauce, green chili sauce, noodles, coffee, tea, syrups, balsamic vinegars and oils, snacks, chips., Chardonnay, Riesling, Blush, Cherry, Pinot Noir, Red and white blends.",No,No,Yes,We are family owned and operated.  Visitors enjoy u-picking fruit and vegetables and sipping on a glass of Black Bridge wine by the river.  We have an on site market with local products and our tasting room with a large selection of our estate grown wines.,38.887091999999996,-107.580996
Oswald Grassfed Beef,Other,2241 County Rd 1A PO Box 304,Cotopaxi,Fremont,CO,81223,(719) 942-4361,Yes,www.oswaldgrassfedbeef.com,stepheno@centurylink.net,https://www.facebook.com/oswaldgrassfedbeef/,,Mon: call first please to arrange a time.; Tue: ditto; Wed: ditto; Thu: ditto; Fri: ditto; Sat: ditto; Sun: ditto,"January, February, March, April, May, June, July, August, September, October, November, December","Beef, Grass fed and finished beef",No,No,Yes,"We are all natural, no hormones or antibiotics.  Grass-fed and finished.  No grain. We choose not to be certified organic, but our product is of organic quality. We rotate animals through pastures on the best grasses. Regenerative land and soil healthy practices.",38.30483699999999,-105.6591
Palombo Farms Market,Other,11500 Havana St.,Henderson,Adams,CO,80640,(303) 287-0134,Yes,Palombomarket.com,palombomarket@gmail.com,https://www.facebook.com/PalomboMarket/,https://www.instagram.com/palombomarket,,"July, August, September, October, December",,No,No,Yes,"Palombo Farms Market is a farm fresh produce market that's been serving the local community for more than 40 years. Family owned and operated, we grow and source produce from our family farm as well as other local farms supporting the agricultural community throughout Colorado.",39.90343502012042,-104.86404502287498
Pasture Provisions Company,Other,620 E 52nd Ave,Denver,Denver,CO,80216,(720) 515-1477,,www.pastureprovisionsco.com,hello@pastureprovisionsco.com,,https://www.instagram.com/pastureprovisionsco/,Mon: 8 am - 5 pm; Tue: 8 am - 5 pm; Wed: 8 am - 5 pm; Thu: 8 am - 5 pm; Fri: 8 am - 5 pm,"January, February, March, April, May, June, July, August, September, October, November, December","Lettuce, Beef, Lamb, Pork, Poultry, Sausage, Wild-Caught Seafood Including:
Salmon
Halibut
Swordfish
Shrimp
Seabass
Stripped Bass
Flounder 
Monkfish
Haddock 
Cod
Pollock, Cheese, Eggs",No,No,Yes,Pasture Provisions is a far-to-door meat delivery service featuring Colorado and regional grass-fed and finished and pasture-raised meats and eggs.,39.790898999999996,-104.979105
Princess Beef,On-Farm / Ranch Sales,32282 J Road,Hotchkiss,Delta,CO,81419,(970) 216-5897,Yes,princessbeef.com,CynthRanch@gmail.com,Princess Beef,princess_beef_ranch,Mon: 8 a.m.- 5 p.m.; Tue: 8 a.m.- 5 p.m.; Wed: 8 a.m.- 5 p.m.; Thu: 8 a.m.- 5 p.m.; Fri: 8 a.m.- 5 p.m.; Sat: 8 a.m.- 5 p.m.; Sun: 8 a.m.- 5 p.m.,"January, February, March, April, May, June, July, August, September, October, November, December",Beef,No,No,No,"100%Grassfed and finished beef, centennial family farm, Animal Welfare Approved, American Grassfed Certified, Audubon Certified  Quarter, half, whole beef by early reservation, ground available at the ranch year round",38.78465399999999,-107.7575445
Rancho Largo Cattle Co.,On-Farm / Ranch Sales,53504 CR 91.1,Fowler,Las Animas,CO,81039,(719) 738-1699,Yes,rancholargo.com,rancholargobeef@gmail.com,,,Mon: 7 am - 4 pm; Tue: 7 am - 4 pm; Wed: 7 am - 4 pm; Thu: 7 am - 4 pm; Fri: 7 am - 4 pm,"January, February, March, April, May, June, July, August, September, October, November, December",Beef,No,No,No,"We produce grass finished beef on 14,000 acres of native rangeland.  Our decision making has been driven by ecosystem health for 25 years.",37.7669136668033,-104.3227408576714
